wavelength,flux
3889.53073,1.20988e-14
3892.484815,1.224549E-14
3895.438901,1.224466E-14
3898.392986,1.218557E-14
3901.347072,1.207349E-14
3904.301157,1.206521E-14
3907.255243,1.218797E-14
3910.209328,1.237804E-14
3913.163414,1.246968E-14
3916.117499,1.23574e-14
3919.071585,1.239754E-14
3922.02567,1.271708E-14
3924.979756,1.275917E-14
3927.933841,1.26698e-14
3930.887927,1.26057e-14
3933.842012,1.265598E-14
3936.796098,1.261036E-14
3939.750183,1.261443E-14
3942.704269,1.273569E-14
3945.658354,1.291177E-14
3948.61244,1.291666E-14
3951.566525,1.292335E-14
3954.520611,1.285822E-14
3957.474696,1.284073E-14
3960.428782,1.283357E-14
3963.382867,1.258785E-14
3966.336953,1.251161E-14
3969.291038,1.274796E-14
3972.245124,1.301459E-14
3975.199209,1.3149e-14
3978.153295,1.306263E-14
3981.107381,1.296156E-14
3984.061466,1.30589e-14
3987.015552,1.31352e-14
3989.969637,1.304426E-14
3992.923723,1.298412E-14
3995.877808,1.304329E-14
3998.831894,1.315668E-14
4001.785979,1.321433E-14
4004.740065,1.324296E-14
4007.69415,1.323259E-14
4010.648236,1.313414E-14
4013.602321,1.31046e-14
4016.556407,1.317719E-14
4019.510492,1.325575E-14
4022.464578,1.336749E-14
4025.418663,1.355826E-14
4028.372749,1.346208E-14
4031.326834,1.335851E-14
4034.28092,1.35005e-14
4037.235005,1.353102E-14
4040.189091,1.336727E-14
4043.143176,1.344464E-14
4046.097262,1.352727E-14
4049.051347,1.34406e-14
4052.005433,1.343453E-14
4054.959518,1.357165E-14
4057.913604,1.365648E-14
4060.867689,1.363378E-14
4063.821775,1.373144E-14
4066.77586,1.373906E-14
4069.729946,1.360046E-14
4072.684031,1.355773E-14
4075.638117,1.359375E-14
4078.592202,1.355346E-14
4081.546288,1.369577E-14
4084.500373,1.377954E-14
4087.454459,1.375128E-14
4090.408544,1.37472e-14
4093.36263,1.362687E-14
4096.316715,1.359256E-14
4099.270801,1.371877E-14
4102.224886,1.372196E-14
4105.178972,1.362477E-14
4108.133057,1.349612E-14
4111.087143,1.343519E-14
4114.041228,1.355585E-14
4116.995314,1.353533E-14
4119.949399,1.346552E-14
4122.903485,1.348716E-14
4125.85757,1.358822E-14
4128.811656,1.362047E-14
4131.765742,1.351957E-14
4134.719827,1.342107E-14
4137.673913,1.353599E-14
4140.627998,1.354707E-14
4143.582084,1.339708E-14
4146.536169,1.340793E-14
4149.490255,1.334705E-14
4152.44434,1.335426E-14
4155.398426,1.341492E-14
4158.352511,1.342125E-14
4161.306597,1.336372E-14
4164.260682,1.33809e-14
4167.214768,1.341322E-14
4170.168853,1.345324E-14
4173.122939,1.351223E-14
4176.077024,1.355238E-14
4179.03111,1.357154E-14
4181.985195,1.339059E-14
4184.939281,1.338859E-14
4187.893366,1.363589E-14
4190.847452,1.374229E-14
4193.801537,1.372342E-14
4196.755623,1.386097E-14
4199.709708,1.390274E-14
4202.663794,1.376331E-14
4205.617879,1.367009E-14
4208.571965,1.367004E-14
4211.52605,1.373918E-14
4214.480136,1.387338E-14
4217.434221,1.40575e-14
4220.388307,1.399675E-14
4223.342392,1.383859E-14
4226.296478,1.381048E-14
4229.250563,1.385892E-14
4232.204649,1.379485E-14
4235.158734,1.384182E-14
4238.11282,1.403091E-14
4241.066905,1.401267E-14
4244.020991,1.399444E-14
4246.975076,1.397621E-14
4249.929162,1.395798E-14
4252.883247,1.393975E-14
4255.837333,1.392152E-14
4258.791418,1.390329E-14
4261.745504,1.388505E-14
4264.699589,1.377968E-14
4267.653675,1.376407E-14
4270.60776,1.379697E-14
4273.561846,1.376288E-14
4276.515932,1.379974E-14
4279.470017,1.380072E-14
4282.424103,1.37212e-14
4285.378188,1.369156E-14
4288.332274,1.367164E-14
4291.286359,1.371753E-14
4294.240445,1.362281E-14
4297.19453,1.359431E-14
4300.148616,1.36358e-14
4303.102701,1.354473E-14
4306.056787,1.363629E-14
4309.010872,1.370776E-14
4311.964958,1.368074E-14
4314.919043,1.358943E-14
4317.873129,1.354028E-14
4320.827214,1.350136E-14
4323.7813,1.359964E-14
4326.735385,1.354909E-14
4329.689471,1.347626E-14
4332.643556,1.344672E-14
4335.597642,1.342574E-14
4338.551727,1.346269E-14
4341.505813,1.343387E-14
4344.459898,1.3449e-14
4347.413984,1.340478E-14
4350.368069,1.329525E-14
4353.322155,1.332046E-14
4356.27624,1.334265E-14
4359.230326,1.335618E-14
4362.184411,1.337426E-14
4365.138497,1.339534E-14
4368.092582,1.338713E-14
4371.046668,1.324021E-14
4374.000753,1.332492E-14
4376.954839,1.355336E-14
4379.908924,1.348906E-14
4382.86301,1.335132E-14
4385.817095,1.325713E-14
4388.771181,1.330209E-14
4391.725266,1.338814E-14
4394.679352,1.331051E-14
4397.633437,1.328301E-14
4400.587523,1.334311E-14
4403.541608,1.325333E-14
4406.495694,1.322834E-14
4409.449779,1.323021E-14
4412.403865,1.327124E-14
4415.35795,1.329058E-14
4418.312036,1.329766E-14
4421.266122,1.340681E-14
4424.220207,1.327524E-14
4427.174293,1.3335e-14
4430.128378,1.354405E-14
4433.082464,1.354353E-14
4436.036549,1.342555E-14
4438.990635,1.332922E-14
4441.94472,1.328544E-14
4444.898806,1.333868E-14
4447.852891,1.342404E-14
