wavelength,flux
3459.432861,7.877738E-15
3462.387478,7.538882E-15
3465.342095,7.454326E-15
3468.296712,7.784675E-15
3471.251328,8.208823E-15
3474.205945,8.310992E-15
3477.160562,9.008176E-15
3480.115179,8.348528E-15
3483.069796,7.272052E-15
3486.024412,7.792411E-15
3488.979029,7.688970E-15
3491.933646,7.627409E-15
3494.888263,7.943656E-15
3497.84288,8.024695E-15
3500.797496,8.029126E-15
3503.752113,8.249089E-15
3506.70673,8.367076E-15
3509.661347,8.280707E-15
3512.615963,8.838434E-15
3515.57058,8.781863E-15
3518.525197,8.169605E-15
3521.479814,7.669681E-15
3524.434431,7.877232E-15
3527.389047,8.318267E-15
3530.343664,8.034248E-15
3533.298281,7.662965E-15
3536.252898,7.983505E-15
3539.207515,8.219863E-15
3542.162131,8.157531E-15
3545.116748,8.287609E-15
3548.071365,8.658899E-15
3551.025982,9.104240E-15
3553.980598,9.208559E-15
3556.935215,9.310590E-15
3559.889832,9.007806E-15
3562.844449,8.085995E-15
3565.799066,8.411824E-15
3568.753682,9.545775E-15
3571.708299,9.714666E-15
3574.662916,9.582831E-15
3577.617533,9.448104E-15
3580.57215,9.131965E-15
3583.526766,9.155292E-15
3586.481383,8.795776E-15
3589.436,9.339504E-15
3592.390617,9.716289E-15
3595.345233,9.332391E-15
3598.29985,9.034448E-15
3601.254467,8.923811E-15
3604.209084,9.051628E-15
3607.163701,9.277676E-15
3610.118317,9.506506E-15
3613.072934,9.733755E-15
3616.027551,9.514566E-15
3618.982168,9.699753E-15
3621.936785,9.695776E-15
3624.891401,9.711523E-15
3627.846018,1.006479E-14
3630.800635,9.949506E-15
3633.755252,9.764089E-15
3636.709868,9.792890E-15
3639.664485,9.761587E-15
3642.619102,9.887101E-15
3645.573719,9.919681E-15
3648.528336,1.021615E-14
3651.482952,1.062351E-14
3654.437569,1.069237E-14
3657.392186,1.073688E-14
3660.346803,1.050213E-14
3663.301419,1.001289E-14
3666.256036,9.807335E-15
3669.210653,1.037544E-14
3672.16527,1.053216E-14
3675.119887,1.067953E-14
3678.074503,1.076500E-14
3681.02912,1.044560E-14
3683.983737,1.056787E-14
3686.938354,1.053175E-14
3689.892971,1.057486E-14
3692.847587,1.080083E-14
3695.802204,1.095660E-14
3698.756821,1.090137E-14
3701.711438,1.099483E-14
3704.666054,1.147656E-14
3707.620671,1.145246E-14
3710.575288,1.099844E-14
3713.529905,1.034950E-14
3716.484522,1.060920E-14
3719.439138,1.105602E-14
3722.393755,1.108695E-14
3725.348372,1.091269E-14
3728.302989,1.106217E-14
3731.257606,1.093067E-14
3734.212222,1.118298E-14
3737.166839,1.180467E-14
3740.121456,1.208001E-14
3743.076073,1.190111E-14
3746.030689,1.178748E-14
3748.985306,1.200336E-14
3751.939923,1.204774E-14
3754.89454,1.203430E-14
3757.849157,1.183581E-14
3760.803773,1.164387E-14
3763.75839,1.133846E-14
3766.713007,1.115452E-14
3769.667624,1.131755E-14
3772.622241,1.159510E-14
3775.576857,1.155624E-14
3778.531474,1.126895E-14
3781.486091,1.125707E-14
3784.440708,1.116941E-14
3787.395324,1.105772E-14
3790.349941,1.143248E-14
3793.304558,1.180462E-14
3796.259175,1.179158E-14
3799.213792,1.155492E-14
3802.168408,1.160003E-14
3805.123025,1.170520E-14
3808.077642,1.161848E-14
3811.032259,1.158346E-14
3813.986876,1.163216E-14
3816.941492,1.184883E-14
