t mag emag
2458243.6703241 18.65049934387207 0.024887677282094955
2458244.6708796 18.538597106933594 0.021945089101791382
2458245.6714468 18.35561180114746 0.021220142021775246
2458245.6723843 18.34469985961914 0.020203271880745888
2458246.7337616 18.466876983642578 0.02824430540204048
2458247.7343634 18.418123245239258 0.02274465560913086
2458248.7353241 18.266469955444336 0.021822653710842133
2458248.73625 18.307661056518555 0.02166510373353958
2458249.7344444 18.171566009521484 0.03574322536587715
2458250.7348032 18.010419845581055 0.03356337919831276
2458254.6914005 18.42453384399414 0.03164307028055191
2458254.692338 18.338136672973633 0.03079015575349331
2458255.7383565 18.342226028442383 0.0329061821103096
2458256.723588 20.461811065673828 0.1791592538356781
2458256.7443171 18.344820022583008 0.033835526555776596
2458256.7780324 18.408357620239258 0.0346672497689724
2458257.7329514 18.35005760192871 0.03678285703063011
2458257.7338773 18.49860954284668 0.041834425181150436
2458258.6686343 20.304473876953125 0.19808214902877808
